Cust_id,Age,Income_group,Existing_Customer,Occupation_type,Education_Qualification,Dependents,Marital_Status,Gender,Debt_Burden_Ratio,Years_at_current_address,Credit_Amount,Housing_1_Own_2_Rent,Employed_since_yrs,Location,DPD_30_6M,DPD_60_6M,Months_on_book,Default_Flag,Occupation_Partner,Job_Seniority,Assets,Savings
14898,52,<=100000,0,Private,1,1,Single,M,< = 0.10,7,167386,1,14,North,0,0,> = 6,0,freelance,20,10000,1.6
34986,34,> 100000,0,Govt,1,1,Married,F,< = 0.10,0,65662,2,11,Central,0,0,> = 6,0,freelance,5,1,7.662857143
74167,37,<=100000,0,Govt,2,0,Single,M,< = 0.10,7,291375,2,10,North,0,0,< 6,0,fixed,1,7700,6.624
80278,43,< = 50000,0,Private,4,0,Single,M,< = 0.50,14,215323,2,6,South,1,1,< 6,1,fixed,2,55,8.307692308
2442,35,< = 50000,0,Private,3,1,Married,F,< = 0.10,4,136948,2,8,South,0,0,> = 6,0,partime,0,0,0.675
76453,54,> 100000,0,Govt,3,2,Single,M,< = 0.10,2,110535,1,17,South,0,0,< 6,0,partime,18,0,-1.32
28124,33,< = 50000,0,Private,1,2,Married,F,< = 0.10,14,168808,1,7,North,0,0,< 6,0,fixed,21,3500,4.02
70712,43,> 100000,0,Govt,2,0,Single,F,< = 0.50,1,243370,2,18,Central,0,0,> = 6,1,freelance,40,17000,8.568
79452,44,> 100000,0,Private,4,1,Single,F,< = 0.10,12,213473,1,15,Central,1,1,> = 6,0,partime,3,0,2.88
98382,55,<=100000,0,Govt,4,1,Seperated,F,> 0.50,4,228530,2,12,South,1,1,> = 6,1,fixed,30,4000,4.636363636
96764,44,<=100000,0,Private,4,2,Married,F,< = 0.10,10,296588,1,6,North,0,0,> = 6,0,fixed,4,0,2.569948187
24066,43,> 100000,0,Private,3,1,Single,F,< = 0.10,9,108102,1,8,North,0,0,> = 6,0,fixed,4,4000,3.680981595
93417,40,<=100000,0,Private,1,1,Married,F,< = 0.50,10,283068,1,7,Central,0,0,< 6,0,partime,1,0,1.68
91986,39,<=100000,0,Private,1,0,Married,M,< = 0.50,3,166213,2,9,North,0,0,> = 6,0,fixed,2,4000,1.2
55478,54,<=100000,0,Govt,4,1,Single,F,< = 0.10,9,264661,1,19,South,0,0,> = 6,0,others,0,2000,5.52
76929,50,> 100000,0,Govt,1,0,Single,M,< = 0.50,13,220324,1,17,South,1,1,< 6,1,fixed,14,5000,2.134285714
74182,45,> 100000,0,Private,1,0,Married,F,< = 0.10,3,153017,2,9,South,0,0,< 6,0,partime,5,5000,0.818181818
80558,39,<=100000,0,Private,4,1,Married,F,< = 0.10,5,287949,2,9,North,0,0,> = 6,0,freelance,7,0,3.272727273
48208,35,<=100000,0,Private,4,1,Single,M,< = 0.50,8,73385,1,10,South,1,1,> = 6,0,fixed,12,3000,1.097142857
9576,35,< = 35000,0,Govt,3,1,Married,M,< = 0.10,7,244442,1,9,Central,0,0,> = 6,0,fixed,2,0,3.1
20104,40,<=100000,0,Govt,3,1,Married,M,> 0.50,8,254749,1,9,North,1,1,> = 6,1,fixed,10,9000,1.028571429
88740,44,> 100000,0,Private,3,1,Single,M,< = 0.10,14,78016,1,13,North,0,0,> = 6,0,fixed,10,7500,1.080691643
53829,25,< = 15000,0,Govt,1,1,Married,M,< = 0.50,1,254933,1,3,Central,0,0,< 6,0,freelance,5,6000,0.170666667
20396,29,< = 25000,0,Govt,3,0,Single,F,> 0.50,9,245683,2,5,North,1,1,< 6,1,fixed,14,0,3.528
2742,55,> 100000,0,Govt,2,1,Single,M,< = 0.50,7,69738,1,20,North,0,0,> = 6,0,fixed,2,5000,1.094117647
11735,28,< = 25000,0,Private,2,1,Single,M,< = 0.50,13,204116,2,5,Central,1,0,< 6,0,others,0,3500,2.365714286
33682,37,< = 35000,0,Self-employed,1,1,Married,F,> 0.50,11,226898,2,9,South,1,1,> = 6,1,freelance,5,6000,4.072727273
46619,45,<=100000,0,Private,2,2,Single,M,< = 0.10,8,260286,1,9,North,0,0,< 6,0,fixed,20,0,0.633802817
78023,23,< = 35000,0,Private,4,1,Single,F,< = 0.10,12,219957,2,3,Central,0,0,< 6,0,fixed,14,0,1.585714286
32149,31,< = 15000,0,Private,4,1,Married,M,< = 0.10,0,169476,1,1,North,1,1,< 6,0,freelance,1,10000,9.895384615
40507,45,<=100000,0,Private,2,1,Married,M,< = 0.50,10,261388,1,9,South,1,0,> = 6,0,fixed,4,3000,2.226315789
42505,52,<=100000,0,Private,1,1,Married,M,< = 0.10,15,251361,2,12,Central,0,0,> = 6,0,fixed,7,4000,0.097560976
13112,53,> 100000,0,Govt,1,0,Single,F,< = 0.10,2,293816,1,17,North,1,1,> = 6,0,fixed,4,0,9
22150,31,< = 35000,0,Self-Employed,3,0,Single,F,> 0.50,4,194174,2,2,North,1,0,< 6,1,fixed,5,0,2.08
46560,52,> 100000,0,Govt,2,0,Single,M,< = 0.10,3,164943,1,16,Central,0,0,< 6 ,0,fixed,3,12000,0.2304
14827,35,<=100000,0,Govt,4,0,Single,F,> 0.50,12,113438,2,9,South,1,1,> = 6,1,fixed,14,0,3.51
4327,49,> 100000,0,Private,1,1,Married,M,< = 0.10,3,191983,2,13,South,1,1,> = 6,0,fixed,2,6000,-0.36
12567,44,> 100000,0,Govt,2,2,Married,M,< = 0.50,10,269118,1,19,South,1,1,< 6,0,freelance,2,0,4.8
27167,36,< = 50000,0,Private,2,0,Single,M,< = 0.10,6,234265,1,9,Central,0,0,< 6,0,partime,1,0,5.175
50099,51,> 100000,0,Govt,3,2,Married,M,> 0.50,10,297541,2,16,Central,1,1,< 6,1,fixed,24,12000,-2.057142857
54626,43,<=100000,0,Govt,2,1,Married,F,< = 0.10,7,84459,2,8,Central,1,1,> = 6,0,freelance,15,148,0.756738462
84221,34,<=100000,0,Private,3,0,Married,M,< = 0.50,13,137067,2,6,South,1,0,> = 6,1,fixed,0,10000,6.3
49224,40,< = 50000,0,Govt,3,0,Married,F,< = 0.10,6,289139,1,9,North,0,0,< 6,0,fixed,14,12000,2.485714286
50847,39,< = 50000,0,Govt,1,0,Single,F,< = 0.50,6,261589,2,8,South,1,0,> = 6,1,freelance,20,6500,20.625
11614,37,< = 50000,0,Govt,4,1,Single,M,< = 0.10,0,62514,2,7,Central,0,0,< 6,0,freelance,0,0,0.617142857
23739,43,<=100000,0,Govt,3,0,Single,M,< = 0.10,11,265263,1,7,North,0,0,> = 6,0,freelance,1,3000,4.145454545
1813,39,<=100000,0,Govt,1,0,Single,M,< = 0.10,13,197977,2,6,Central,0,0,> = 6,0,fixed,14,2500,2.660869565
53890,45,> 100000,0,Private,4,1,Single,M,< = 0.10,8,176429,2,13,Central,0,0,< 6,0,freelance,3,60000,4.68
